2016-03-16 15:50:35 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:50:40 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:50:42 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:51:01 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:51:03 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:51:05 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:51:10 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:53:53 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 15:53:55 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:12:09 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:12:19 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:13:34 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:14:13 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:14:17 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:14:31 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:25:55 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:29:43 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:30:41 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:32:39 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:32:44 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:32:46 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:33:51 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:33:53 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:33:59 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:34:01 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:34:02 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:34:02 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 16:34:41 - PHP Notice:  Undefined variable: token in /opt/lampp/htdocs/cart/admin/view/template/common/menu.tpl on line 5
2016-03-16 20:08:21 - PHP Notice:  Error: Table 'xy.goods' doesn't exist<br />Error No: 1146<br />SELECT des from goods order by id limit 15 in /opt/lampp/htdocs/cart/system/library/db/mysqli.php on line 45
2016-03-16 20:08:21 - PHP Notice:  Trying to get property of non-object in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 8
2016-03-16 20:16:00 - PHP Warning:  Illegal string offset 'des' in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:00 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
2016-03-16 20:16:32 - PHP Notice:  iconv(): Wrong charset, conversion from `UTF8' to `GBK' is not allowed in /opt/lampp/htdocs/cart/admin/model/import/goodslist.php on line 10
